Date,Close
12/07/1981,417.25
12/08/1981,417.25
12/09/1981,408.25
12/10/1981,407
12/11/1981,409
12/14/1981,419.25
12/15/1981,413.25
12/16/1981,418
12/17/1981,418
12/18/1981,415.25
12/21/1981,413.75
12/22/1981,403.75
12/23/1981,402.25
12/24/1981,404
12/29/1981,396.25
12/30/1981,397.25
12/31/1981,400
01/04/1982,399
01/05/1982,400.75
01/06/1982,402
01/07/1982,396.25
01/08/1982,397.75
01/11/1982,392
01/12/1982,389.25
01/13/1982,387
01/14/1982,371
01/15/1982,377.25
01/18/1982,369.75
01/19/1982,377.25
01/20/1982,371.75
01/21/1982,375.25
01/22/1982,377.75
01/25/1982,373.5
01/26/1982,373.5
01/27/1982,382.5
01/28/1982,381.5
01/29/1982,388.25
02/01/1982,381.25
02/02/1982,376.25
02/03/1982,378.75
02/04/1982,383.75
02/05/1982,384.5
02/08/1982,381.5
02/09/1982,378
02/10/1982,382.6
02/11/1982,381.5
02/12/1982,379
02/15/1982,375.55
02/16/1982,376.25
02/17/1982,375.5
02/18/1982,367.5
02/19/1982,368.75
02/22/1982,364
02/23/1982,360.5
02/24/1982,362.75
02/25/1982,368
02/26/1982,363.25
03/01/1982,358.75
03/02/1982,363
03/03/1982,357.1
03/04/1982,347
03/05/1982,340
03/08/1982,335.5
03/09/1982,325.5
03/10/1982,332.75
03/11/1982,334
03/12/1982,322.5
03/15/1982,314.25
03/16/1982,321
03/17/1982,314.5
03/18/1982,322.4
03/19/1982,316.25
03/22/1982,318.5
03/23/1982,327
03/24/1982,333
03/25/1982,328
03/26/1982,322.75
03/29/1982,319.5
03/30/1982,325.75
03/31/1982,320.5
04/01/1982,325.5
04/02/1982,326.6
04/05/1982,336
04/06/1982,346.25
04/07/1982,356.75
04/08/1982,352.5
04/13/1982,352.5
04/14/1982,364.75
04/15/1982,362.5
04/16/1982,363.75
04/19/1982,356.75
04/20/1982,345.75
04/21/1982,346.6
04/22/1982,344.75
04/23/1982,346.75
04/26/1982,361
04/27/1982,350.75
04/28/1982,358.5
04/29/1982,352
04/30/1982,356.75
05/04/1982,343.5
05/05/1982,341.75
05/06/1982,335.25
05/07/1982,336.25
05/10/1982,329.5
05/11/1982,330
05/12/1982,333.5
05/13/1982,331.75
05/14/1982,331.75
05/17/1982,337.25
05/18/1982,337.5
05/19/1982,342.75
05/20/1982,341.5
05/21/1982,343.25
05/24/1982,331.85
05/25/1982,326
05/26/1982,332
05/27/1982,324.75
05/28/1982,325.5
06/01/1982,319
06/02/1982,316.8
06/03/1982,322
06/04/1982,318.5
06/07/1982,322.9
06/08/1982,330.9
06/09/1982,326.75
06/10/1982,329
06/11/1982,327
06/14/1982,322.25
06/15/1982,315
06/16/1982,316.65
06/17/1982,313.5
06/18/1982,307.5
06/21/1982,297
06/22/1982,301.75
06/23/1982,300.75
06/24/1982,309.75
06/25/1982,304
06/28/1982,303.4
06/29/1982,310.75
06/30/1982,314
07/01/1982,311.75
07/02/1982,313
07/05/1982,315.5
07/06/1982,313.1
07/07/1982,307.4
07/08/1982,310.85
07/09/1982,322.35
07/12/1982,338.5
07/13/1982,339
07/14/1982,353.75
07/15/1982,347.75
07/16/1982,345.75
07/19/1982,350
07/20/1982,344.25
07/21/1982,361.5
07/22/1982,358.25
07/23/1982,363.75
07/26/1982,357
07/27/1982,351.5
07/28/1982,345.75
07/29/1982,340.5
07/30/1982,342.5
08/02/1982,352.125
08/03/1982,355.5
08/04/1982,347.6
08/05/1982,348.25
08/06/1982,346.125
08/09/1982,337.75
08/10/1982,337.75
08/11/1982,332.875
08/12/1982,333.25
08/13/1982,337.75
08/16/1982,337.25
08/17/1982,338
08/18/1982,352.1
08/19/1982,356.25
08/20/1982,379
08/23/1982,381.75
08/24/1982,411.5
08/25/1982,394.5
08/26/1982,417.5
08/27/1982,425.25
08/31/1982,409.6
09/01/1982,404.25
09/02/1982,408.25
09/03/1982,454.75
09/06/1982,458
09/07/1982,488.5
09/08/1982,469
09/09/1982,477
09/10/1982,448.25
09/13/1982,440
09/14/1982,452
09/15/1982,444.75
